City,St,Church,Pastor,Stat Year,Comm,Non Comm,Total,Prof Child,Prof Adult,Trans Letter,Reaffir-mation,Re-stored,Total,Death,Trans,Rem'v fr Roll,Discipl,Total,,Adult Bapt,Infant Bapt,Ruling Elders,Deacons,Family Units,Sunday School Attend,Small Group Attend,Est Morn Attend,Grades *Included,Total Enrollment,Tithes & Offerings,"Special
Causes",Building Fund Offering,Other Contrib,Total Contrib,Other Income,Total Church Income,,Admini-stration,Disciple-ship Min.,Mission to N. America,Mission to the World,Covenant College,Covenant Seminary,"Ridge
Haven",Reformed University Ministries,PCA Office Building,Other,Total,Presbytery Operation,Christian Education,Home Missions,"Internat'l
Missions",Other Pres-bytery Min,Total,,Local Ministries,Mercy Ministires,"PCA Internat'l
Missions",PCA Home Mission,Non-PCA Mission,PCA Schools,Non-PCA Schools,Total,TOTAL Benevolent Disbursements,Current Expenses,Building Fund,GRAND TOTAL: All Disbursements,"Benevol/
Grand Total",Per Capita Giving
Bay Springs,MS,Bay Springs Presbyterian Church,,2014,15,2,17,1,0,0,0,0,1,0,0,0,0,0,,0,0,2,0,12,0,,11,,,"$58,326 ",$0 ,"$10,017 ",$0 ,"$68,343 ",$167 ,"$68,510 ",,$0 ,$0,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$55,394 ",$0 ,"$55,394 ",0%,"$4,556"
Hattiesburg,MS,Bay Street Presbyterian Church,Brian H. Davis,2016,148,37,185,0,1,2,0,0,3,5,0,0,0,5,,1,1,9,6,77,50,,75,,,"$179,525 ","$6,514 ","$39,942 ","$22,600 ","$248,581 ",$0 ,"$248,581 ",,$210 ,$415,$415 ,$415 ,$0 ,$0 ,$158 ,"$1,150 ",$0 ,$0 ,"$2,763 ",$250 ,$0 ,$0 ,$0 ,$0 ,$250 ,,"$17,216 ",$415 ,$0 ,"$7,403 ",$0 ,$830 ,$0 ,"$25,864 ","$28,877 ","$156,253 ","$7,740 ","$192,870 ",15%,"$1,680"
Bedford,NS,Bedford Presbyterian Church,William D Radford,2024,67,42,109,2,2,0,0,0,4,1,2,3,,6,,0,2,4,2,25,8,20,50,,,"$167,000 ",,,,"$167,000 ",,"$167,000 ",,,,,,,,,,,,$0 ,,,,,,"$1,000 ",,"$9,750 ","$1,500 ",,,"$7,000 ",,,"$18,250 ","$19,250 ","$118,375 ","$23,000 ","$160,625 ",12%,"$2,493"
Rutherford,NJ,Beloved Presbyterian,Daniel Chi,2022,20,,20,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,
Ellwood City,PA,Berean Presbyterian Church,Cody Hooper,2024,54,8,62,0,6,0,0,0,6,0,2,7,1,10,,0,1,2,3,26,26,0,45,,,"$150,443 ",$481 ,$0 ,"$6,393 ","$157,317 ",$0 ,"$157,317 ",,$200 ,$240,$0 ,"$7,000 ",$0 ,$0 ,$0 ,$0 ,,$481 ,"$7,921 ",,,,,,"$1,400 ",,$780 ,$835 ,$0 ,$0 ,"$4,200 ",$0 ,$0 ,"$5,815 ","$15,136 ","$131,658 ","$2,728 ","$149,522 ",10%,"$2,913"
Berkeley,CA,Berkeley Grace Presbyterian Church,Ernest Kim,2024,22,,22,0,0,0,1,0,1,0,4,0,0,4,,0,1,1,0,13,7,12,25,EMH,4,"$75,532 ","$2,080 ",$0 ,$200 ,"$77,812 ",$26 ,"$77,838 ",,$0 ,$0,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,,,,,,$500 ,,$0 ,$0 ,$0 ,"$2,000 ","$6,000 ",$0 ,$0 ,"$8,000 ","$8,500 ","$87,160 ",$0 ,"$95,660 ",9%,"$3,537"
Oxford,PA,Bethany Presbyterian Church,Drew David Belden,2022,110,,110,,4,,,,4,4,7,22,,33,,,1,6,4,,,,80,PKEMH,200,"$327,640 ",,,,"$327,640 ","$3,017 ","$330,657 ",,,,,,,,,,,,$0 ,,,,,,$0 ,,"$9,157 ",,"$12,000 ",,,"$14,000 ",,"$35,157 ","$35,157 ","$411,726 ",,"$446,883 ",8%,"$2,979"
Greensboro,GA,Bethany Presbyterian Church,David Toller,2024,20,4,24,,,2,,,2,,,,,0,,,,3,,8,7,,25,,,"$33,845 ",,,,"$33,845 ",,"$33,845 ",,,,,,,,,,,,$0 ,$648 ,,,,,$648 ,,,,,,,,,$0 ,$648 ,"$12,262 ","$13,086 ","$25,996 ",2%,"$1,692"
Chicago,IL,Bethel Christian Church (Chicago),Erik Oldfather,2022,36,3,39,2,1,0,3,,6,0,0,4,0,4,,,1,2,1,27,10,10,40,,,"$132,545 ",,,,"$132,545 ",,"$132,545 ",,$450 ,,,,,,,,,,$450 ,$250 ,,,,,$250 ,,,"$1,000 ",,,"$5,000 ",,,"$6,000 ","$6,700 ","$100,000 ","$30,000 ","$136,700 ",5%,"$3,682"
Niles,IL,Bethel Christian Church (Niles),Seesun Yoo,2022,46,14,60,3,4,4,0,0,11,0,0,0,0,0,,2,0,2,0,15,11,25,60,,,"$143,631 ",$0 ,$0 ,$0 ,"$143,631 ",$0 ,"$143,631 ",,$0 ,$0,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$143,016 ",$0 ,"$143,016 ",0%,"$3,122"
Dallas,TX,Bethel Church PCA,Anton Heuss,2012,125,27,152,4,1,7,3,0,15,0,6,7,1,14,,0,3,4,5,57,75,,150,EMH,8,"$408,900 ","$16,100 ",$0 ,$0 ,"$425,000 ",$0 ,"$425,000 ",,$0 ,$0,$0 ,$0 ,$900 ,$0 ,$0 ,$0 ,$0 ,"$1,200 ","$2,100 ",$900 ,$0 ,$0 ,$0 ,$0 ,$900 ,,"$1,100 ","$3,000 ","$3,000 ",$0 ,"$6,000 ",$0 ,$0 ,"$13,100 ","$16,100 ","$360,000 ","$52,000 ","$428,100 ",4%,"$3,400"
Marlborough,MA,Bethel Presbyterian Church,Vagner Miranda,2024,325,,325,0,,4,,,4,,,4,,4,,,,5,14,,50,,315,,,"$751,165 ",,,,"$751,165 ",,"$751,165 ",,,,"$3,000 ",,,,,"$3,000 ",,,"$6,000 ",,,,,,,,,,,,"$35,553 ",,"$14,558 ","$50,111 ","$56,111 ","$684,385 ",,"$740,496 ",8%,"$2,311"
Lake Charles,LA,Bethel Presbyterian Church,Thiago Silva,2024,83,21,104,13,6,3,,,22,1,,,,1,,1,4,4,5,31,50,45,85,,,"$200,000 ","$4,685 ",,,"$204,685 ",$25 ,"$204,710 ",,$870 ,,,,,,,,,,$870 ,,,,,,"$2,250 ",,"$4,000 ",,"$6,750 ",,,,,"$10,750 ","$13,870 ","$186,339 ",,"$200,209 ",7%,"$2,466"
Clover,SC,Bethel Presbyterian Church,Christopher David Donnelly,2024,324,78,402,0,2,3,4,0,9,3,2,23,0,28,,1,12,12,11,175,94,60,188,,,"$626,958 ","$3,461 ","$22,621 ","$2,610 ","$655,650 ","$115,127 ","$770,777 ",,"$1,000 ","$1,578","$32,190 ","$33,560 ",$0 ,$0 ,$200 ,"$11,000 ",,"$1,809 ","$81,337 ",,,,,,"$12,099 ",,"$48,749 ","$6,700 ","$8,300 ",$0 ,$752 ,$0 ,$0 ,"$64,501 ","$157,937 ","$515,325 ","$132,373 ","$805,635 ",20%,"$2,024"
Union Springs,AL,Bethel Presbyterian Church,,1995,17,0,17,0,0,0,0,0,0,1,0,0,0,1,,0,0,1,1,6,4,,17,,,"$6,713 ",$0 ,$0 ,$0 ,"$6,713 ",$0 ,"$6,713 ",,$0 ,$0,$0 ,$0 ,$0 ,$0 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,0%,$395
Palatine,IL,Bethel Presbyterian Church of Chicago,Eun Kwan Kim,1996,371,120,491,9,19,25,4,3,60,2,5,0,0,7,,19,9,7,7,200,150,,300,,,"$288,581 ","$187,315 ","$8,780 ",$0 ,"$484,676 ",$0 ,"$484,676 ",,$0 ,$0,$0 ,$0 ,$0 ,$0 ,$0 ,,,$0 ,$0 ,"$4,000 ",$0 ,"$4,800 ",$0 ,$0 ,"$8,800 ",,$0 ,$0 ,$0 ,$0 ,"$100,000 ",$0 ,$0 ,"$100,000 ","$108,800 ","$150,000 ","$6,000 ","$264,800 ",41%,"$1,306"
Sparta,IL,Bethel Reformed Presbyterian Church,Alex Eppstein,2024,75,25,100,,,,,,0,2,,1,,3,,,1,4,2,41,30,,80,,,"$300,847 ","$2,860 ",,"$4,170 ","$307,877 ",$591 ,"$308,468 ",,$703 ,,"$3,600 ",,,,,,,,"$4,303 ",,,,,,"$6,290 ",,"$9,341 ","$3,460 ","$17,870 ","$12,000 ","$18,950 ",,$600 ,"$62,221 ","$72,814 ","$285,751 ","$30,000 ","$388,565 ",19%,"$4,105"
Edwards,MS,Bethesda Presbyterian Church,,2024,17,,17,,,1,,,1,1,,,,1,,,,,,9,,,12,,,"$63,790 ",,,,"$63,790 ",,"$63,790 ",,,,,,,,,,,,$0 ,,,,,,$493 ,,,,,"$1,000 ","$1,000 ",,"$1,990 ","$3,990 ","$4,483 ","$54,295 ",,"$58,778 ",8%,"$3,752"
Merrill,WI,Bible Presbyterian Church,John Andrew Perry,2024,92,18,110,1,8,0,2,0,11,2,0,9,0,11,,0,1,4,4,72,30,25,101,,,"$211,018 ","$17,500 ",$0 ,"$29,418 ","$257,936 ","$4,778 ","$262,714 ",,$0 ,$0,$0 ,"$2,400 ",$0 ,$0 ,$0 ,"$1,200 ",,$0 ,"$3,600 ",,,,,,"$6,000 ",,"$24,700 ","$7,000 ",$0 ,"$1,200 ","$12,161 ",$0 ,$0 ,"$45,061 ","$54,661 ","$171,608 ","$34,473 ","$260,742 ",21%,"$2,804"
Rapid City,SD,Black Hills Community Church,Arthur Sartorius,2024,37,14,51,,1,,5,,6,1,,4,,5,,1,1,3,0,21,24,10,42,,,"$104,654 ",,,,"$104,654 ",,"$104,654 ",,,,,,,,,,,,$0 ,,,,,,,,,,,,,,,$0 ,$0 ,"$130,909 ",,"$130,909 ",0%,"$2,828"
Vaiden,MS,Blackmonton Presbyterian Church,Philip E. McRae,2024,5,0,5,0,0,0,0,0,0,0,1,0,0,1,,0,0,2,0,4,12,12,20,,,"$18,132 ",$0 ,$0 ,$0 ,"$18,132 ",$0 ,"$18,132 ",,$145 ,$0,"$2,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,,$0 ,"$2,145 ",,,,,,$500 ,,$0 ,$0 ,$0 ,$0 ,$500 ,$0 ,"$1,000 ","$1,500 ","$4,145 ","$12,588 ",$0 ,"$16,733 ",25%,"$3,626"
Greer,SC,Blue Ridge Presbyterian Church,Thomas Griffith,2024,45,1,46,0,0,0,0,0,0,4,0,129,0,133,,0,0,4,6,21,15,10,38,,,,,,,$0 ,,$0 ,,,,,,,,,,,,$0 ,,,,,,,,,,,,,,,$0 ,$0 ,,,$0 ,0%,$0
Blythewood,SC,Blythewood Presbyterian Church,Frank Rhett Sanders Jr.,2024,185,29,214,2,4,4,2,2,14,1,2,6,0,9,,2,4,6,8,85,0,75,178,,,"$519,400 ",,"$24,475 ","$20,450 ","$564,325 ","$4,723 ","$569,048 ",,$381 ,$333,"$1,238 ","$1,428 ",$476 ,$476 ,$190 ,"$7,581 ",,$0 ,"$12,103 ",,,,,,"$5,378 ",,"$8,675 ","$18,675 ","$1,500 ","$2,250 ","$40,080 ",$0 ,$0 ,"$71,180 ","$88,661 ","$283,730 ","$119,085 ","$491,476 ",18%,"$3,050"
Grand Cayman,BRITISH WEST INDIES,Boatswain Bay Presbyterian Church,,2014,86,56,142,0,1,0,1,0,2,3,0,0,0,3,,1,2,3,5,57,50,,100,,,"$98,830 ","$33,755 ",$0 ,$750 ,"$133,335 ",$0 ,"$133,335 ",,$0 ,$0,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$400 ,$0 ,$0 ,$0 ,$0 ,$400 ,,"$20,528 ","$15,000 ","$1,500 ",$0 ,"$6,000 ",$0 ,$0 ,"$43,028 ","$43,428 ","$90,627 ",$0 ,"$134,055 ",32%,"$1,550"
Boligee,AL,Boligee Presbyterian Church,,2024,13,,13,,,,,,0,,,,,0,,,,3,,7,,,15,,,"$56,035 ",,,"$4,000 ","$60,035 ",,"$60,035 ",,$212 ,,,,,,,,,,$212 ,,,,,,$212 ,,$350 ,,,,"$1,000 ",,,"$1,350 ","$1,774 ","$55,425 ",,"$57,199 ",3%,"$4,618"
Lynchburg,VA,Boonsboro Presbyterian Church,Robert Lee Smith III,2024,42,22,64,2,,1,,,3,,1,,,1,,2,0,3,2,24,10,10,45,,,"$203,369 ","$12,000 ","$1,500 ",$0 ,"$216,869 ",$0 ,"$216,869 ",,$0 ,$0,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,,,,,,$0 ,,$0 ,$200 ,$0 ,$0 ,"$8,000 ",$0 ,$0 ,"$8,200 ","$8,200 ","$184,171 ","$23,551 ","$215,922 ",4%,"$5,164"
Oak Park,IL,Boulevard Presbyterian Church,Jeffrey Allen Schneider,2024,77,26,103,3,,21,,,24,,,14,,14,,,2,4,1,30,40,40,110,,,"$295,928 ",,,,"$295,928 ","$66,719 ","$362,647 ",,,,,,,,,,,,$0 ,,,,,,$0 ,,,"$10,050 ",,,,,,"$10,050 ","$10,050 ","$329,385 ",,"$339,435 ",3%,"$3,843"
Boynton Beach,FL,Boynton Beach Community Church,Dudley R. Hodges,2016,498,0,498,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,,"$877,000 ",$500 ,"$204,000 ",$0 ,"$1,081,500 ","$10,500 ","$1,092,000 ",,$0 ,$0,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,"$8,300 ","$10,700 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$19,000 ","$19,000 ","$828,000 ","$196,000 ","$1,043,000 ",2%,"$2,172"
Brandon,MS,Brandon Presbyterian Church,Brad Mills,2024,182,40,222,3,2,15,3,,23,4,9,,,13,,2,3,6,11,85,110,,150,,,"$478,479 ","$76,147 ",,,"$554,626 ",,"$554,626 ",,"$2,000 ","$2,000","$2,000 ","$8,850 ",,"$1,500 ",,"$5,600 ",,$100 ,"$22,050 ",,,,,,"$4,901 ",,"$6,800 ",$890 ,"$12,000 ","$13,500 ",,"$2,550 ","$7,000 ","$42,740 ","$69,691 ","$443,890 ",,"$513,581 ",14%,"$3,047"
Brent,AL,Brent Presbyterian Church,Mitchell Lee Haubert,2014,31,2,33,0,0,0,0,0,0,0,7,0,0,7,,0,0,3,0,15,12,,18,EMH,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,
Birmingham,AL,Briarwood Presbyterian Church,Scott Redd,2024,"3,600",734,"4,334",33,28,61,34,6,162,40,121,102,,263,,9,22,75,121,"1,940",,,"1,572",PKEMH,1738,"$15,240,309 ",,"$7,119 ","$458,229 ","$15,705,657 ","$1,445,347 ","$17,151,004 ",,"$44,000 ","$16,000","$4,800 ","$217,450 ",,,,"$4,800 ",,"$82,480 ","$369,530 ",,,,,,"$39,070 ",,"$2,162,180 ","$174,650 ",,,"$3,204,999 ","$780,267 ","$21,750 ","$6,343,846 ","$6,752,446 ","$9,214,190 ","$364,000 ","$16,330,636 ",41%,"$4,363"
Easton,PA,Bridge Community Church,Timothy Gorbey,2019,39,32,71,2,1,0,0,0,3,0,0,0,0,0,,0,0,0,0,32,0,40,55,,,"$96,424 ",,,"$47,564 ","$143,988 ",,"$143,988 ",,$200 ,$0,"$5,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$5,200 ",$300 ,$0 ,$400 ,$0 ,$0 ,$700 ,,"$10,000 ","$5,000 ",$0 ,$0 ,"$8,000 ",$0 ,$0 ,"$23,000 ","$28,900 ","$122,108 ",,"$151,008 ",19%,"$3,692"
Brigham City,UT,Brigham City Bible Church,,2023,40,9,49,1,0,0,1,0,2,0,3,0,0,3,,0,0,2,3,24,10,10,40,,,"$124,497 ",$0 ,$0 ,$0 ,"$124,497 ",$0 ,"$124,497 ",,,,"$2,400 ","$1,200 ",,,,,,,"$3,600 ","$1,200 ",,"$2,700 ",,,"$3,900 ",,"$2,400 ","$2,400 ",,,"$1,200 ",,,"$6,000 ","$13,500 ","$127,712 ",,"$141,212 ",10%,"$3,112"
Killeen,TX,Bright Castle Presbyterian Church,Sanghyun Koh,2003,80,8,88,8,0,0,0,0,8,0,0,0,0,0,,72,8,2,0,45,32,,55,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,$0 ,$0,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,0%,$0
Arnold,MD,Broadneck Evangelical Presbyterian Church,Brian Cummings March,2024,179,55,234,4,2,11,4,,21,,2,2,,4,,1,5,14,5,103,80,95,208,,,"$874,970 ","$17,621 ","$16,872 ","$1,900 ","$911,363 ","$5,058 ","$916,421 ",,"$2,100 ",,,,,,,,,,"$2,100 ",,,,,,"$1,000 ",,"$26,125 ","$51,068 ","$2,545 ","$3,308 ","$50,490 ",,"$4,900 ","$138,436 ","$141,536 ","$788,830 ","$31,000 ","$961,366 ",15%,"$5,091"
Brookhaven,GA,Brookhaven Presbyterian Church,Zachary Bradley,2024,266,142,408,3,2,18,8,,31,1,2,14,,17,,1,21,3,9,143,,200,275,,,"$1,778,000 ",,"$335,277 ",,"$2,113,277 ","$43,980 ","$2,157,257 ",,,,,,,,,"$2,600 ",,,"$2,600 ",,,,,,,,,"$170,000 ","$132,967 ",,"$55,000 ",,,"$357,967 ","$360,567 ","$1,857,000 ",,"$2,217,567 ",16%,"$7,945"
White Rock,NM,Bryce Avenue Presbyterian Church,Zachary Michael Garris,2024,58,25,83,,1,3,,,4,,3,2,,5,,,2,4,4,31,15,25,59,,,"$260,740 ","$28,360 ",,,"$289,100 ",,"$289,100 ",,"$1,700 ",,"$8,200 ","$31,600 ",,,,"$3,600 ",,"$1,700 ","$46,800 ","$3,600 ",,,,,"$3,600 ",,"$7,360 ",$240 ,"$6,560 ",,"$33,470 ",,"$3,400 ","$51,030 ","$101,430 ","$160,300 ","$14,000 ","$275,730 ",37%,"$4,984"
Sharon,SC,Bullock Creek Presbyterian Church,Craig G. Marshall,2022,41,,41,,,,,,0,,,,,0,,,,,,18,,,,,,"$59,740 ",,,,"$59,740 ",,"$59,740 ",,,,,,,,,,,,$0 ,,,,,,$0 ,,,"$4,048 ",,,,,,"$4,048 ","$4,048 ",,,"$4,048 ",100%,"$1,457"
Yorktown,VA,By Grace Community Church ,Kevin M. Hass,2024,97,36,133,1,3,8,6,0,18,,1,5,,6,,3,2,4,5,42,0,122,115,,,"$270,092 ","$7,983 ",,$125 ,"$278,200 ",,"$278,200 ",,$100 ,,,,,,,,,,$100 ,,,,,,"$2,740 ",,"$1,800 ","$2,300 ","$3,548 ","$1,650 ","$2,318 ",,,"$11,616 ","$14,456 ","$257,561 ",,"$272,017 ",5%,"$2,868"
Birmingham,AL,Cahaba Park Church PCA,,2024,331,172,503,1,0,7,19,0,27,1,20,0,0,21,,0,9,14,17,144,150,160,208,,,,,,,$0 ,,$0 ,,,,,,,,,,,,$0 ,,,,,,,,,,,,,,,$0 ,$0 ,,,$0 ,0%,$0
Towson,MD,Calvary Gospel Presbyterian Church,,2022,116,8,124,0,0,0,0,0,0,1,0,0,0,1,,0,0,3,2,62,5,60,90,,,"$230,000 ","$3,500 ",$0 ,$0 ,"$233,500 ",$0 ,"$233,500 ",,,,,,,,,,,,$0 ,$200 ,,,,,$200 ,,,,,,,,,$0 ,$200 ,"$185,000 ","$73,000 ","$258,200 ",0%,"$2,013"
Willow Grove,PA,Calvary Presbyterian Church,"Angel Gomez, Steven Carter",2024,268,43,311,0,2,8,0,0,10,4,0,9,0,13,,0,2,4,6,102,33,105,123,,,"$398,298 ","$20,010 ","$87,168 ","$6,050 ","$511,526 ","$43,818 ","$555,344 ",,"$1,300 ",,,,,,,,,,"$1,300 ",,,,,,"$5,800 ",,"$3,950 ","$6,450 ","$15,420 ",,"$9,405 ",,,"$35,225 ","$42,325 ","$491,970 ",,"$534,295 ",8%,"$1,909"
Allenwood,NJ,Calvary Presbyterian Church,Thomas Michael Harr Jr.,2024,116,31,147,,,,2,,2,3,,9,,12,,,1,5,4,64,55,20,105,,,"$449,631 ","$16,192 ",,"$21,039 ","$486,862 ","$23,748 ","$510,610 ",,"$3,000 ","$3,000","$3,100 ","$3,500 ","$1,500 ","$1,200 ",$500 ,"$2,200 ",,,"$18,000 ",,,,,,"$16,000 ",,"$5,665 ","$8,000 ","$9,250 ",,"$10,300 ",,,"$33,215 ","$67,215 ","$410,189 ",,"$477,404 ",14%,"$4,197"
Norfolk,VA,Calvary Presbyterian Church,Mark J. Bender,2024,150,,150,,10,8,,,18,2,,,,2,,1,5,3,3,90,50,100,136,,,"$532,591 ","$42,550 ","$25,500 ",,"$600,641 ","$10,779 ","$611,420 ",,$800 ,,$800 ,"$1,600 ",,,,"$5,412 ",,,"$8,612 ",,,,,,"$2,300 ",,"$6,909 ","$8,847 ","$13,080 ",,"$68,181 ",,,"$97,017 ","$107,929 ","$471,505 ","$6,901 ","$586,335 ",18%,"$4,004"
Raleigh,NC,Calvary Presbyterian Church,Nathanael James Wilks,2024,76,10,86,,,6,5,,11,1,,9,,10,,,1,3,4,37,25,35,59,,,"$434,064 ","$3,480 ","$12,325 ",,"$449,869 ","$25,812 ","$475,681 ",,,,,,,,,,,"$7,800 ","$7,800 ",,,,,,"$2,720 ",,"$5,400 ","$5,491 ","$6,990 ","$11,563 ",$0 ,,,"$29,444 ","$39,964 ","$306,363 ","$67,032 ","$413,359 ",10%,"$5,919"
Mize,MS,Calvary Presbyterian Church,Jackson Chang Pei Lin,2019,53,,53,0,0,0,0,0,0,0,0,0,0,0,,,,4,5,28,25,,43,,,"$101,000 ",,,,"$101,000 ",,"$101,000 ",,,,,,,,,$500 ,,,$500 ,"$1,000 ",,,"$2,500 ",,"$3,500 ",,"$1,000 ",,,$500 ,,"$3,000 ",,"$4,500 ","$8,500 ","$91,900 ","$21,000 ","$121,400 ",7%,"$1,906"
St. Robert,MO,Calvary Presbyterian Church,Youngjin Moon,2022,53,11,64,,,,,,0,,,,,0,,,,,,27,,,,,,"$218,589 ",,,,"$218,589 ",,"$218,589 ",,,,,,,,,,,,$0 ,,,,,,$0 ,,,"$21,169 ",,,,,,"$21,169 ","$21,169 ","$232,985 ",,"$254,154 ",8%,"$4,124"
Hampton,VA,Calvary Reformed Presbyterian Church of Hampton Roads,Jeffrey Daniel Ferguson,2024,191,44,235,2,0,23,13,0,38,1,5,3,0,9,,0,7,5,7,88,60,78,193,,,"$569,032 ","$14,348 ","$274,911 ",$0 ,"$858,291 ","$7,007 ","$865,298 ",,$400 ,$300,$400 ,"$8,781 ",$300 ,$0 ,$300 ,"$17,000 ",,$0 ,"$27,481 ",,,,,,"$4,000 ",,"$5,619 ","$19,841 ",$0 ,"$2,400 ","$28,710 ",$0 ,$0 ,"$56,570 ","$88,051 ","$438,432 ","$45,137 ","$571,620 ",15%,"$4,494"
North Huntingdon,PA,Calvin Presbyterian Church,Aaron Patrick Garber,2024,106,15,121,5,6,1,0,0,12,2,0,11,0,13,,0,1,5,6,60,43,9,96,,,"$262,053 ","$2,700 ","$4,600 ",$875 ,"$270,228 ",$0 ,"$270,228 ",,$200 ,$300,"$1,800 ","$24,968 ","$1,070 ",$0 ,$0 ,"$2,300 ",,$300 ,"$30,938 ",,,,,,"$2,800 ",,$0 ,$350 ,"$8,736 ","$2,600 ",$0 ,$0 ,$0 ,"$11,686 ","$45,424 ","$240,992 ","$18,466 ","$304,882 ",15%,"$2,549"
San Ramon,CA,Canyon Creek Presbyterian Church,Travis John Marsh,2024,226,97,323,1,3,0,18,0,22,1,0,6,0,7,,7,4,8,0,322,60,180,300,PKE,,"$1,341,268 ","$56,076 ",,"$138,236 ","$1,535,580 ","$3,511,063 ","$5,046,643 ",,$300 ,,"$1,500 ",,,,,"$12,750 ",,,"$14,550 ",,,,,,"$6,000 ",,"$4,729 ","$25,761 ",,,"$42,749 ","$20,000 ","$6,000 ","$99,239 ","$119,789 ","$4,994,088 ",,"$5,113,877 ",2%,"$6,795"
Fairfax,VA,Capital Presbyterian Church of Fairfax,Rob Anthony Yancey Jr.,2024,193,84,277,0,3,168,23,0,194,1,0,0,0,1,,3,0,6,10,98,70,115,200,,,"$1,187,471 ","$8,978 ",$0 ,"$16,646 ","$1,213,095 ",$0 ,"$1,213,095 ",,$0 ,$0,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,$0 ,$0 ,,,,,,$0 ,,"$48,250 ","$23,456 ",$0 ,"$1,500 ","$11,500 ",$0 ,$0 ,"$84,706 ","$84,706 ","$807,471 ",$0 ,"$892,177 ",9%,"$6,285"
Carlisle,PA,Carlisle Reformed Presbyterian Church,Matt T. Purdy,2024,175,79,254,2,0,10,7,0,19,2,7,6,0,15,,1,6,3,7,79,150,30,206,,,"$680,683 ",$0 ,"$19,415 ",$0 ,"$700,098 ","$68,082 ","$768,180 ",,"$4,200 ",$0,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,$0 ,"$4,200 ",,,,,,"$4,620 ",,"$12,900 ","$5,530 ","$24,600 ","$2,872 ","$46,400 ",$0 ,"$9,000 ","$101,302 ","$110,122 ","$521,919 ","$83,024 ","$715,065 ",15%,"$4,001"
Locust,NC,Carolina Presbyterian Church,Jackson Alexander Roylston,2022,298,92,390,0,2,10,3,,15,4,3,27,,34,,0,3,8,4,170,77,,176,PKEMH,330,"$597,400 ",,,,"$597,400 ","$12,000 ","$609,400 ",,,,,,$250 ,,,,,,$250 ,"$6,094 ",,,,"$1,000 ","$7,094 ",,"$1,700 ","$3,000 ","$68,408 ",,,,,"$73,108 ","$80,452 ","$557,668 ",,"$638,120 ",13%,"$2,005"
Madden,MS,Carolina Presbyterian Church,,2022,65,,65,,,,,,0,,,,,0,,,,,,22,,,,,,"$109,763 ",,,,"$109,763 ",,"$109,763 ",,,,,,,,,,,,$0 ,,,,,,$0 ,,,"$8,626 ",,,,,,"$8,626 ","$8,626 ",,,"$8,626 ",100%,"$1,689"
Peachtree City,GA,Carriage Lane Presbyterian Church,James Bruce,2024,375,96,471,10,3,9,11,0,33,3,14,13,1,31,,2,7,10,23,177,170,75,301,,,"$1,675,341 ","$24,232 ",$0 ,"$13,847 ","$1,713,420 ","$109,454 ","$1,822,874 ",,"$2,357 ","$1,489","$22,052 ","$90,336 ","$2,366 ","$2,366 ","$1,475 ","$26,264 ",,"$2,051 ","$150,756 ",,,,,,"$6,000 ",,"$4,917 ","$60,971 ","$6,983 ",$0 ,"$137,340 ",$0 ,$0 ,"$210,211 ","$366,967 ","$1,275,213 ","$180,000 ","$1,822,180 ",20%,"$4,569"
